 Date & UTC Time,Sea Level,Water Temperature,Air Temperature,Barometric Pressure,Residuals,Adjusted Residuals,Wind Direction,Wind Gust,Wind Speed
1/01/2020 0:00,1.235,27.8,29.6,1012.3,0.007,-0.001,247,5.8,1.6
1/01/2020 1:00,1.173,27.9,29.7,1012.1,0.003,-0.007,260,6.6,1.5
1/01/2020 2:00,1.065,27.9,29.2,1011.8,-0.011,-0.023,284,5.8,1.3
1/01/2020 3:00,0.946,27.9,29.3,1011.3,-0.027,-0.041,237,5.5,1.5
1/01/2020 4:00,0.843,27.9,29.9,1010.7,-0.041,-0.061,246,6.4,1.8
1/01/2020 5:00,0.795,28,29,1010.5,-0.041,-0.067,233,5.5,1.9
1/01/2020 6:00,0.802,28,28.2,1010.9,-0.042,-0.069,7,4.6,0.7
1/01/2020 7:00,0.871,27.8,27.2,1011.2,-0.032,-0.055,116,2.8,0.4
1/01/2020 8:00,0.983,27.8,26,1011.6,-0.008,-0.027,200,1.7,0.6
1/01/2020 9:00,1.084,27.8,25.4,1012,0.004,-0.012,201,1.5,0.3
1/01/2020 10:00,1.161,27.8,24.5,1012.6,0.018,0.006,186,1.4,0.3
1/01/2020 11:00,1.183,27.8,24.4,1013,0.028,0.022,186,0.9,0.1
1/01/2020 12:00,1.132,27.8,24.3,1012.8,0.029,0.027,190,1,0.2
1/01/2020 13:00,1.015,27.8,23.6,1012.1,0.025,0.02,194,1.3,0.6
1/01/2020 14:00,0.854,27.8,23,1011.6,0.013,0.001,191,1.7,1.2
1/01/2020 15:00,0.683,27.8,22.5,1011.2,-0.008,-0.024,188,1.6,0.2
1/01/2020 16:00,0.542,27.8,22.6,1011,-0.03,-0.051,190,1.9,1.1
1/01/2020 17:00,0.461,27.8,22.2,1010.9,-0.055,-0.077,186,1.8,1
1/01/2020 18:00,0.473,27.8,22.3,1010.9,-0.063,-0.087,194,1.7,0.7
1/01/2020 19:00,0.582,27.8,23.4,1011.4,-0.049,-0.072,184,1.4,0
1/01/2020 20:00,0.735,27.4,25.9,1011.7,-0.039,-0.057,65,2.2,1.1
1/01/2020 21:00,0.911,27.5,27.5,1011.8,-0.023,-0.038,293,2.9,0.3
1/01/2020 22:00,1.071,27.9,28.5,1011.6,-0.008,-0.023,356,5.1,0.4
1/01/2020 23:00,1.179,28,28,1011.3,-0.007,-0.023,323,4.7,1.5
2/01/2020 0:00,1.22,28.1,28.5,1011,-0.014,-0.034,282,5.1,1.6
2/01/2020 1:00,1.216,28.1,28.5,1010.5,-0.007,-0.03,313,6.1,1.2
2/01/2020 2:00,1.153,28.1,28.3,1010,-0.008,-0.036,304,5.2,1.6
2/01/2020 3:00,1.042,28.1,28.6,1009.5,-0.026,-0.059,311,5,1.5
2/01/2020 4:00,0.913,28.2,29.1,1009,-0.05,-0.088,321,4.9,1
2/01/2020 5:00,0.815,28.2,27.8,1009,-0.059,-0.102,332,5.2,1.3
2/01/2020 6:00,0.776,27.9,27.8,1009.2,-0.049,-0.091,93,4.1,0.7
2/01/2020 7:00,0.79,27.8,26.9,1009.8,-0.035,-0.074,260,5.2,0.4
2/01/2020 8:00,0.85,27.8,25.7,1010.5,-0.021,-0.055,182,2,0.1
2/01/2020 9:00,0.936,27.8,24.5,1010.9,-0.01,-0.036,192,1.1,0.4
2/01/2020 10:00,1.029,27.8,23.9,1011.2,0.007,-0.017,205,1.3,0.5
2/01/2020 11:00,1.08,27.8,24.9,1011.5,0.002,-0.018,136,1.9,0.1
2/01/2020 12:00,1.091,27.8,24,1011.2,0.002,-0.016,165,1.1,0.1
2/01/2020 13:00,1.058,27.8,23.6,1010.7,0.011,-0.009,190,1.1,0
2/01/2020 14:00,0.96,27.8,23.7,1010,0.005,-0.021,191,1.2,0.1
2/01/2020 15:00,0.811,27.8,22.9,1009.5,-0.023,-0.056,190,1.8,0.9
2/01/2020 16:00,0.667,27.8,22.9,1009.2,-0.046,-0.084,193,0.8,0
2/01/2020 17:00,0.564,27.4,22.7,1009.2,-0.059,-0.1,167,1.2,0
2/01/2020 18:00,0.514,27.5,22.6,1009.5,-0.075,-0.115,197,1.1,0.5
2/01/2020 19:00,0.537,27.6,22.9,1010,-0.085,-0.121,194,1.5,0.5
2/01/2020 20:00,0.647,27.6,25,1010.1,-0.068,-0.1,189,1.2,0.1
2/01/2020 21:00,0.796,27.7,26.7,1010.3,-0.051,-0.082,96,4.2,2.1
2/01/2020 22:00,0.963,28,28.4,1010.2,-0.029,-0.058,93,4.2,0.8
2/01/2020 23:00,1.103,28.2,28.3,1010,-0.019,-0.049,282,5.2,1.4
3/01/2020 0:00,1.19,28.3,28.3,1009.7,-0.023,-0.056,287,4.5,1.8
3/01/2020 1:00,1.226,28.3,28.3,1009.2,-0.026,-0.061,32,5.4,1.6
3/01/2020 2:00,1.21,28.3,28.7,1008.7,-0.022,-0.062,289,4.9,1.4
3/01/2020 3:00,1.132,28.3,29.7,1008,-0.03,-0.076,284,4.6,1.5
3/01/2020 4:00,1.006,28.4,29.2,1007.3,-0.052,-0.105,324,5,0.9
3/01/2020 5:00,0.879,28.4,28.7,1007.4,-0.064,-0.123,277,4.6,1.3
3/01/2020 6:00,0.778,28.4,28.1,1007.8,-0.066,-0.124,273,4,0.7
3/01/2020 7:00,0.727,28,27.1,1008.5,-0.058,-0.111,69,3.1,1.8
3/01/2020 8:00,0.731,27.9,26,1009,-0.045,-0.092,196,2.4,0.6
3/01/2020 9:00,0.787,27.9,24.9,1009.5,-0.027,-0.069,197,1.4,0.7
3/01/2020 10:00,0.875,27.9,24.9,1009.9,-0.009,-0.046,203,1.7,0.7
3/01/2020 11:00,0.947,27.9,24.8,1010.5,-0.014,-0.046,196,1.6,0.8
3/01/2020 12:00,0.997,27.9,24.5,1010.2,-0.025,-0.052,193,1.6,0.8
3/01/2020 13:00,1.018,27.9,25.1,1009.9,-0.028,-0.059,88,2.9,0.6
3/01/2020 14:00,0.998,27.9,24.2,1009.3,-0.024,-0.058,196,2.7,0.2
3/01/2020 15:00,0.919,27.9,23.5,1008.8,-0.033,-0.072,190,1.3,0.7
3/01/2020 16:00,0.8,27.9,23.2,1008.7,-0.053,-0.098,199,1.9,1.1
3/01/2020 17:00,0.685,27.9,23,1008.9,-0.068,-0.113,192,2.2,1.4
3/01/2020 18:00,0.598,27.9,22.9,1009.6,-0.082,-0.125,198,2,1.4
3/01/2020 19:00,0.569,27.9,23.2,1010.5,-0.088,-0.122,201,2,1.1
3/01/2020 20:00,0.617,27.9,26.3,1010.7,-0.075,-0.102,184,1.5,0
3/01/2020 21:00,0.735,27.9,27.7,1010.9,-0.045,-0.07,84,6.6,4.2
3/01/2020 22:00,0.871,28,28.2,1010.8,-0.036,-0.059,82,7.9,3.7
3/01/2020 23:00,1.012,28.1,28.7,1010.5,-0.034,-0.058,82,6.8,2.5
4/01/2020 0:00,1.128,28.2,29.6,1010.3,-0.04,-0.067,127,8.4,1
4/01/2020 1:00,1.206,28.2,29.6,1010,-0.046,-0.075,61,5.8,1
4/01/2020 2:00,1.24,28.2,28.8,1009.5,-0.039,-0.072,74,6,1.6
4/01/2020 3:00,1.207,28.3,29.5,1009,-0.039,-0.076,286,6.1,1.7
4/01/2020 4:00,1.104,28.2,30.1,1008.7,-0.054,-0.097,299,5.4,0.8
4/01/2020 5:00,0.971,28.2,28.7,1008.8,-0.063,-0.108,48,5.2,1.1
4/01/2020 6:00,0.838,27.9,28,1009.3,-0.061,-0.105,64,5,1.5
4/01/2020 7:00,0.732,28.1,27.3,1010.4,-0.053,-0.091,78,5.1,2.5
4/01/2020 8:00,0.676,28.1,26.2,1011.2,-0.04,-0.067,180,4,0.6
4/01/2020 9:00,0.69,28.1,25.5,1011.7,-0.011,-0.031,192,2.2,0.6
4/01/2020 10:00,0.744,28.1,25.2,1012.3,0.002,-0.013,196,1.8,0.8
4/01/2020 11:00,0.828,28.1,24.8,1012.5,0.008,-0.001,184,1.7,1
4/01/2020 12:00,0.915,28,24.2,1012.4,0.004,-0.004,196,1.7,0.9
4/01/2020 13:00,0.987,28,24.2,1012,-0.004,-0.013,202,5.2,0.4
4/01/2020 14:00,1.035,28,24.1,1011.3,0,-0.013,203,2,0.8
4/01/2020 15:00,1.016,28,23.7,1010.8,-0.014,-0.034,117,3.4,0.5
4/01/2020 16:00,0.944,28,23.7,1010.5,-0.031,-0.056,349,2.7,0.4
4/01/2020 17:00,0.845,28,23.2,1010.8,-0.043,-0.07,0,1,0
4/01/2020 18:00,0.758,28,22.8,1011,-0.038,-0.062,189,1.7,0.8
4/01/2020 19:00,0.692,28,23.5,1011.8,-0.036,-0.058,190,1.9,1
4/01/2020 20:00,0.676,27.9,25.9,1012.4,-0.031,-0.045,218,1.6,0
4/01/2020 21:00,0.73,27.9,28.3,1012.7,-0.013,-0.021,94,4.8,3.2
4/01/2020 22:00,0.83,28.1,29,1012.7,-0.003,-0.008,89,6.9,3.2
4/01/2020 23:00,0.942,28.3,29.3,1012.3,-0.02,-0.026,90,7.6,4
5/01/2020 0:00,1.063,28.4,29.5,1012,-0.039,-0.049,93,10,5.3
5/01/2020 1:00,1.184,28.5,30.2,1011.6,-0.039,-0.052,80,10.5,2.7
5/01/2020 2:00,1.262,28.6,29.9,1011,-0.038,-0.054,92,9.1,5.6
5/01/2020 3:00,1.283,28.6,29.9,1010.3,-0.029,-0.052,89,9.6,5.1
5/01/2020 4:00,1.227,28.7,29.3,1010.2,-0.028,-0.057,91,9.1,4.5
5/01/2020 5:00,1.108,28.8,29.3,1010.3,-0.029,-0.059,87,9.2,4
5/01/2020 6:00,0.955,28.8,28.7,1011,-0.029,-0.057,89,9.7,1.8
5/01/2020 7:00,0.798,28.4,27.7,1011.9,-0.027,-0.048,82,7.7,3.4
5/01/2020 8:00,0.686,28.2,26.9,1012.5,-0.012,-0.024,79,5.2,0.8
5/01/2020 9:00,0.628,28.2,26.6,1012.9,0.006,-0.001,92,3.9,0.6
5/01/2020 10:00,0.626,28.1,25.6,1013.5,0.013,0.01,179,4,0.8
5/01/2020 11:00,0.673,28.1,26.1,1013.5,0.004,0.006,179,2.7,0.6
5/01/2020 12:00,0.757,28.1,26.1,1013.3,-0.014,-0.011,124,3.4,0.5
5/01/2020 13:00,0.866,28.1,26,1012.6,-0.023,-0.023,183,2.6,0.3
5/01/2020 14:00,0.972,28.1,26.1,1012,-0.02,-0.027,162,2,0.6
5/01/2020 15:00,1.024,28.1,26,1011.4,-0.032,-0.046,177,2.5,0.7
5/01/2020 16:00,1.022,28.1,25.9,1011.1,-0.042,-0.06,217,2.5,0.3
5/01/2020 17:00,0.968,28.1,25.7,1011.2,-0.044,-0.066,173,2,0.2
5/01/2020 18:00,0.884,28.1,25.2,1011.8,-0.04,-0.059,188,1.9,0.8
5/01/2020 19:00,0.794,28,26.2,1012.2,-0.035,-0.049,194,1.9,0.2
5/01/2020 20:00,0.739,28,27.2,1012.8,-0.022,-0.031,80,3.5,2.5
5/01/2020 21:00,0.741,28,28.6,1012.7,0,-0.004,87,7,3.1
5/01/2020 22:00,0.787,28.1,29.6,1012.9,0.008,0.003,80,7.3,4.4
5/01/2020 23:00,0.88,28.1,31.1,1012.5,0.001,-0.003,88,8.6,4.3
6/01/2020 0:00,1.001,28.2,29.9,1012,-0.019,-0.027,71,7.9,4.8
6/01/2020 1:00,1.152,28.2,30.7,1011.6,-0.017,-0.03,83,8.3,4
6/01/2020 2:00,1.268,28.2,30.4,1011,-0.02,-0.037,72,7.8,3.3
6/01/2020 3:00,1.328,28.3,29.4,1010.3,-0.022,-0.045,77,7.3,3.8
6/01/2020 4:00,1.321,28.4,30,1009.6,-0.017,-0.047,72,8.1,2.6
6/01/2020 5:00,1.222,28.4,29.4,1009.5,-0.024,-0.061,75,8.8,2.6
6/01/2020 6:00,1.058,28.4,29.5,1010.1,-0.033,-0.07,82,5.2,1.8
6/01/2020 7:00,0.875,28.4,28.1,1010.9,-0.03,-0.06,71,4.6,1.8
6/01/2020 8:00,0.707,28.4,27.4,1011.5,-0.018,-0.041,84,4.3,1
6/01/2020 9:00,0.584,28.4,27.1,1012,-0.003,-0.02,72,2.8,0.5
6/01/2020 10:00,0.531,28.4,27.1,1012.4,0.015,0.003,81,3.8,2.2
6/01/2020 11:00,0.545,28.4,26.4,1012.7,0.018,0.01,93,4.3,0.6
6/01/2020 12:00,0.623,28.4,26.7,1012.5,0.01,0.005,113,3,0.5
6/01/2020 13:00,0.747,28.3,27,1011.6,-0.003,-0.011,89,4.8,2.4
6/01/2020 14:00,0.891,28.3,26.6,1011,-0.009,-0.026,168,4.2,0.9
6/01/2020 15:00,1.01,28.3,26.2,1010.8,-0.017,-0.04,208,1.7,0.6
6/01/2020 16:00,1.077,28.3,25.8,1010.5,-0.028,-0.052,195,1.9,0.5
6/01/2020 17:00,1.076,28.2,25.9,1010.3,-0.036,-0.063,167,1.9,0.2
6/01/2020 18:00,1.017,28.2,25.7,1010.6,-0.034,-0.064,169,2.2,0.5
6/01/2020 19:00,0.925,28.2,25.7,1011.5,-0.025,-0.051,202,1.6,0.5
6/01/2020 20:00,0.834,28.1,27.7,1012,-0.013,-0.03,84,4.1,2.1
6/01/2020 21:00,0.77,28.1,28.8,1012.3,-0.003,-0.015,79,6.9,3.7
6/01/2020 22:00,0.757,28.2,29.2,1012.1,0.001,-0.009,82,7.8,5
6/01/2020 23:00,0.805,28.2,30.2,1011.7,-0.003,-0.014,75,7.4,3.7
7/01/2020 0:00,0.918,28.3,30.1,1011.2,-0.009,-0.025,76,7.6,4.5
7/01/2020 1:00,1.069,28.3,30.9,1010.7,-0.017,-0.038,76,8.7,3.9
7/01/2020 2:00,1.217,28.3,30.6,1009.9,-0.026,-0.052,80,7.8,4.1
7/01/2020 3:00,1.327,28.4,30.4,1009.1,-0.029,-0.063,82,7.2,4.4
7/01/2020 4:00,1.367,28.5,29.9,1008.9,-0.029,-0.071,75,6.6,3.4
7/01/2020 5:00,1.317,28.5,29.6,1009,-0.031,-0.074,71,7,2.5
7/01/2020 6:00,1.186,28.5,29,1009.5,-0.029,-0.07,79,7.4,2.8
